existing_guard	protected_invariant	zrail_rail	governed_surface	negative_mutation	old_result	new_result	replacement_scope	decision
consumer_classic_group_follower_calls_guard.rs	protected follower calls originate only in approved owners	owner:call, owner:method-name	classic-group follower calls	add one protected follower call in an unapproved file	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
consumer_classic_group_follower_ownership_guard.rs	follower authority remains opaque, linear, and local	owner:type-construction, owner:capability, test-mirror	classic-group follower authority	add a public field or Clone derive to the follower token	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_classic_group_heartbeat_core_guard.rs	heartbeat cadence state is constructed and mutated locally	owner:call, owner:field-write	classic-group heartbeat core	construct heartbeat cadence from a second core file	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_classic_group_heartbeat_host_guard.rs	heartbeat host owns time mapping and state mutation	owner:call, owner:capability, owner:method-name, owner:field-write	classic-group heartbeat host	replace fixed monotonic mapping with a second clock source	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_classic_group_heartbeat_rpc_guard.rs	heartbeat RPC call state mutates only in its owner	owner:call, owner:method-name, owner:field-write	classic-group heartbeat RPC	mutate tracked heartbeat state from a foreign RPC file	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_classic_group_leader_ownership_guard.rs	leader authority cannot be forged or duplicated	owner:type-construction, owner:call, owner:method-name, owner:field-write	classic-group leader authority	forge the leader authority token in a sibling module	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_classic_group_ownership_guard.rs	classic-group machine has exact owned state and evidence	owner:capability, owner:field-write, test-mirror	classic-group machine	add a field to the closed classic-group machine	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_classic_group_position_execution_guard.rs	position actions preserve ownership, time, and order	owner:capability, owner:method-name, owner:field-write	classic-group position execution	swap commit, membership, and position actions	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_classic_group_protocol_guard.rs	protocol request owners remain opaque and consumed	owner:capability, owner:method-name	classic-group protocol builders	change a builder to duplicate rather than consume its owner	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_classic_group_reconciliation_ownership_guard.rs	reconciliation consumes and returns exact owners	owner:call, owner:method-name	classic-group reconciliation	change reconciliation to borrow one owner	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_classic_group_rejoin_host_guard.rs	rejoin authority and state stay in the host	owner:type-construction, owner:call, owner:capability, owner:method-name, owner:field-write	classic-group rejoin host	construct rejoin authority or mutate state from another host	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_classic_group_topic_view_guard.rs	immutable topic view authority stays opaque and local	owner:type-construction, owner:capability, test-mirror	classic-group topic view	import the topic view in an unapproved adapter	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_close_ownership_guard.rs	consumer close state mutates only in its owner	owner:field-write	consumer close state	mutate close state through a foreign typed argument	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_core_fetch_ownership_guard.rs	core fetch state remains linear and locally mutated	owner:field-write	consumer core fetch state	derive Clone on throttle state or mutate it outside the owner	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_fetch_call_ownership_guard.rs	tracked fetch calls have one executor and state owner	owner:method-name, owner:field-write	consumer fetch calls	add a foreign executor method caller and clone a tracked call	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_fetch_executor_capability_guard.rs	raw execution capabilities and calls stay in the executor	owner:call, owner:capability, owner:method-name	consumer fetch executor	add raw execution or tracked-call construction in a sibling	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
consumer_fetch_executor_ownership_guard.rs	fetch executor machine state mutates only in its owner	owner:field-write	consumer fetch executor state	mutate executor state through a foreign typed binding	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_fetch_ownership_guard.rs	retained fetch graph owners are nonduplicable	no RC4 linear-type rail	consumer fetch ownership graph	derive Clone on one retained fetch owner	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_fetch_store_ownership_guard.rs	reservation domains and store state have one owner	owner:call, owner:method-name, owner:field-write	consumer fetch store	mint a reservation domain or mutate store state elsewhere	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_group_checkpoint_ownership_guard.rs	checkpoint commit state is linear and local	owner:capability, owner:field-write	consumer group checkpoints	derive Clone on checkpoint commit state	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_group_close_facade_guard.rs	consumed group close authority remains linear and owned across engine bridge and public facade	owner:method-name, owner:field-write, owner:capability, test-mirror	group-consumer close admission observation and completion facades	derive Clone on a close owner or move try_close or completion mutation to an unapproved file	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_group_commit_facade_guard.rs	checkpoint commit owners and the public submission seam remain linear and exact	owner:method-name, owner:field-write, owner:capability, test-mirror	group-consumer checkpoint commit engine bridge and public facade	derive Clone or Copy on a commit owner or add an unapproved try_commit caller	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_group_host_integration_guard.rs	host integration authority is opaque and locally owned	owner:type-construction, owner:capability, owner:method-name, owner:field-write	consumer group host integration	forge host authority in a foreign integration file	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_group_offset_commit_host_guard.rs	privileged offset commits originate only in the host	owner:capability, owner:method-name, owner:field-write	consumer group offset-commit host	call a privileged commit method from another host file	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_group_offset_commit_notifier_guard.rs	thread-spawn exception is exact and nonexpanding	owner:capability allowlist	consumer group commit notifier	add thread spawning beside the exact notifier exception	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
consumer_group_offset_commit_ownership_guard.rs	route and reservation ownership transfer exactly once	owner:capability, owner:method-name, owner:field-write	consumer group offset commit	move token discard or reservation transfer to a second owner	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_group_offset_fetch_protocol_guard.rs	raw generated DTOs stay behind the protocol seam	scope.symbols.deny, owner:capability	consumer group offset-fetch protocol	import a raw generated DTO into the assigned protocol seam	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_group_position_bootstrap_ownership_guard.rs	bootstrap position state mutates only in its owner	owner:capability, owner:field-write	consumer group position bootstrap	mutate bootstrap state from an execution module	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_group_position_offset_fetch_rpc_guard.rs	position registry and route authority stay in RPC owner	owner:capability, owner:field-write	consumer group position offset-fetch RPC	mutate registry state or steal route authority elsewhere	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_group_registry_guard.rs	registry entries have exact opaque shape and ownership	owner:type-construction, owner:capability, owner:method-name, owner:field-write	consumer group registry	add a per-entry host field to the registry entry	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_group_revocation_facade_guard.rs	revocation event and completion authority remain linear and locally observed	owner:method-name, owner:field-write, owner:capability, test-mirror	group-consumer revocation event engine bridge and public facade	derive Clone on revocation authority or move event observation or completion mutation elsewhere	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_group_session_catalog_guard.rs	catalog identity and candidate authority stay singly owned	owner:type-construction, owner:call, owner:capability, owner:method-name, owner:field-write	consumer group session catalog	construct a candidate or mutate identity from a foreign file	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_position_execution_ownership_guard.rs	raw position execution capability has one owner	owner:capability, owner:method-name, owner:field-write	consumer position execution	move raw execution capability into direct position code	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_read_isolation_api_guard.rs	public read-isolation variants remain exact	no RC4 enum-variant or public-surface rail	public read-isolation API	add an unreviewed public read-isolation enum variant	pending	not-applicable	none	retain-semantic
consumer_read_isolation_guard.rs	raw decoding and isolation state stay in their owners	owner:call, owner:capability, owner:field-write	consumer read-isolation core and adapters	import raw decoding into core or mutate isolation elsewhere	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_resolved_assignment_ownership_guard.rs	resolved assignment state owns time and mutation locally	owner:capability, owner:field-write	consumer resolved assignment	add deadline capability or mutate the machine externally	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
delete_consumer_group_offsets_engine_ownership_guard.rs	delete-offset engine bytes mutate only in their host	owner:field-write	delete-group-offset engine state	mutate retained bytes through another engine host	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
delete_consumer_group_offsets_facade_guard.rs	delete-offset facade has one reviewed submitter	owner:method-name, test-mirror	delete-group-offset facade and engine bridge	add a second direct engine submission owner	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
delete_consumer_group_offsets_ownership_guard.rs	deletion state remains linear and locally mutated	owner:field-write	delete-group-offset core state	derive Clone on deletion state or mutate it outside core	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
dependency_guard.rs	workspace dependency graph and forbidden transitive runtimes remain exact	dependencies.mode=locked, layer edges, dependency deny	all Cargo packages and resolved dependency paths	add a core-to-engine edge or transitive async runtime	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
describe_cluster_ownership_guard.rs	describe-cluster registered state mutates only in its owner	owner:field-write	describe-cluster core state	mutate a registered field from another module	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
describe_configs_ownership_guard.rs	describe-configs owner is linear and locally mutated	owner:field-write	describe-configs core state	derive Clone on the owner or mutate state elsewhere	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
describe_topics_ownership_guard.rs	describe-topics owner is linear and locally mutated	owner:field-write	describe-topics core state	derive Copy on the owner or mutate state elsewhere	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
engine_dependency_boundary_guard.rs	wire and driver imports stay behind engine adapters	scope.symbols.deny, owner:capability	engine package dependency boundary	alias wire or driver imports outside their adapters	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
engine_host_group_consumer_guard.rs	host scheduling owns runtime, transport, and public capabilities	owner:capability	engine host group-consumer boundary	import a protected capability into host scheduling	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
engine_transaction_initialization_guard.rs	transaction initialization owner is linear and integrated once	owner:capability, owner:field-write, test-mirror	engine transaction initialization	clone the execution owner or steal sibling transport	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
facade_dependency_guard.rs	public facade imports only reviewed bridge dependencies	scope.symbols.deny, package and layer boundary	kafkars facade package	import engine or core directly from a nonbridge facade file	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
facade_guard.rs	lib.rs and mod.rs are declarative facades	source.rust.facades=declarative	all Rust facade files	add a function body to lib.rs or mod.rs	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
file_size_exception_guard.rs	file-size exceptions are exact, owned, and issue-linked	source.rust.size and ratchet	guardrails.toml file-size exceptions	add a duplicate or stale exception or erase its issue owner	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
file_size_guard.rs	live Rust files cannot exceed reviewed role budgets	source.rust.size and rust.file-size ratchet	all governed Rust files	grow one file above its reviewed value	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
incremental_alter_configs_engine_ownership_guard.rs	tracked alter-config calls and bytes have one host	owner:method-name, owner:field-write	incremental-alter-config engine state	move tracked execution or byte mutation to a second host	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
incremental_alter_configs_ownership_guard.rs	incremental-alter-config core owner stays linear and local	owner:field-write	incremental-alter-config core state	derive Clone on the owner or mutate state elsewhere	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
invariant_registry_guard.rs	invariant evidence and the migration ledger remain exact	invariant and gate rails only; no evidence-governance parity	guardrails invariant registry, docs/INVARIANTS.md, and the Zrail guard ledger	duplicate evidence or omit one guard from the migration ledger	pending	not-applicable	none	retain-semantic
list_consumer_group_offsets_engine_surface_guard.rs	group-offset observer remains nonduplicable	no RC4 linear-type rail	list-group-offset engine observer	derive Clone on the observer	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
list_consumer_group_offsets_facade_guard.rs	stable list-offset option has one public builder owner	owner:method-name	list-group-offset facade	add a second builder call site for the stable option	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
list_consumer_group_offsets_ownership_guard.rs	list-offset state mutates only in exact core owners	owner:field-write	list-group-offset core state	mutate listing state outside its exact core modules	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
list_topics_ownership_guard.rs	internal-topic option has one public builder owner	owner:method-name	list-topics facade	add a second builder call site for the internal-topic option	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
module_contract_guard.rs	every live Rust source starts with a module contract	source.rust.module_docs=required	all live Rust source files	remove the leading module contract from one live file	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
ownership_guard.rs	authority types remain opaque, nonduplicable, and locally mutated	owner:type-construction, owner:field-write	global authority-token and linear-owner tables	make an authority field public or implement Clone	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
policy_schema_guard.rs	architecture policy is strict, versioned, and internally ordered	strict contract parser and canonical policy identities	guardrails.toml	add an unknown key or duplicate a canonical policy identity	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
protected_call_guard.rs	protected constructors and calls have exact owners	owner:call with macro and source resolution	all protected-call allowlists	hide a protected constructor behind an alias, reexport, or macro	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
qualification_workflow_guard.rs	Testlab qualification pins verdicts triggers and retained evidence exactly	gate digests only; no workflow-semantic parity	.github/workflows/qualification.yml	float the Testlab pin weaken its verdict or stop unconditional evidence retention	pending	not-applicable	none	retain-semantic
rust_entrypoint_contract_guard.rs	repository entrypoints retain exact guarded command sequences	gate digest only; no command-order parity	scripts/check-rust-lint and scripts/check-rust-test	insert an extra command before or after a reviewed command	pending	not-applicable	none	retain-semantic
shared_admin_completion_ownership_guard.rs	shared admin completion owners remain linear and local	owner:field-write	shared admin completion state	derive Clone on a completion owner or mutate state elsewhere	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
sibling_manifest_guard.rs	published Kafka dependencies retain exact registry artifacts	dependency identity and lock	root and engine manifests plus Cargo.lock	change an exact RC to Git, path, alias, duplicate version, or another checksum	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
source_graph_guard.rs	all live Rust source is reachable through reviewed source edges	repository and source graph, macro authority	workspace Rust module and include graph	add unreachable Rust source or an escaping path attribute	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
source_hygiene_guard.rs	production source excludes inline tests and unfinished macros	source.rust.tests=sibling, source.rust.hygiene	all production Rust source	add an inline test, todo, unimplemented, or dbg macro	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
test_declaration_guard.rs	sibling unit tests are cfg-gated and explicitly declared	source.rust.tests=sibling	all sibling unit-test modules	remove cfg(test) or the mod declaration	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
test_mirror_guard.rs	exact production-to-test mirrors carry runnable evidence	source.rust.test_mirrors	all configured test-mirror receipts	remove the runnable test or provide a stale receipt	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
transaction_initialization_facade_guard.rs	transaction initialization has one public lifecycle path	owner:capability, owner:method-name, test-mirror	transaction initialization facade	add a second engine submitter or unsupported public owner	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
transaction_initialization_ownership_guard.rs	transaction initialization state mutates only in its owner	owner:capability, owner:field-write	transaction initialization core state	construct or mutate initialization state from a foreign module	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
traversal_guard.rs	policy traversal covers every configured live source root	repository roots, exclude, and complete inventory	workspace source traversal	hide live source behind an exclusion or partial traversal	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
